OBJECTID,GRID,SHAPE_Leng,SHAPE_Area,mortality_score,community_score,egress_score,populated_score,utility_score,priority_score,priority_class,priority_rank
1,101,2537.8375755,399021.52195,15.385502668902507,0.0,81.47145101778099,39.25322969241118,0.0,28.76058694270919,Medium,41
2,102,2539.14032594,399427.478483,23.44946721807847,0.0,65.90905052030746,64.77447390329553,11.26314802421409,34.861017253776254,Medium,29
3,103,2539.1000925,399417.39553,32.62683933913854,0.0,0.0,14.182635880329663,2.4976476943021355,12.999226131952815,Low,66
4,111,2536.94258989,398796.532513,8.376101226290631,0.0,0.0,83.15131208716237,0.0,19.143092785319663,Low,59
5,112,2536.92197037,398789.372624,6.695366872570179,0.0,23.440335644541292,99.99999999999179,0.0,26.69667719067767,Medium,44
6,113,2536.94309276,398796.662416,8.89577005767433,0.0,100.0,99.9999999999911,20.23038929334782,45.7032894113027,Medium,10
7,121,2536.93957242,398795.398172,22.316628160421352,0.0,0.0,82.81492771817412,0.0,23.25797399176123,Low,52
8,122,2536.92473641,398790.434636,11.982243392475025,0.0,0.0,99.99999999999146,11.861317591678942,25.373870656492645,Medium,47
9,123,2536.93554907,398794.358898,9.108365626337221,0.0,0.0,99.99999999999142,57.64959769030048,31.379949341444522,Medium,34
10,131,2536.93831514,398795.036437,66.00530088541531,0.0,0.0,49.34657586791395,0.0,29.670905439207385,Medium,38
11,132,2536.92649662,398790.926279,43.88102132200725,0.0,0.0,99.99999999999143,41.526430566051744,39.39327098150823,Medium,25
12,133,2536.94334423,398796.734764,23.769877946042158,0.0,0.0,99.75284796586044,100.0,42.08153297698474,Medium,18
13,141,2537.80639039,399072.52293,66.92442946744815,0.0,0.0,48.64308667633267,0.0,29.805946175500978,Medium,37
14,142,2536.9219704,398789.490941,66.92442946744853,0.0,0.0,99.99999999999143,5.826375861986192,40.95128521953078,Medium,21
15,143,2536.93580051,398794.57912,66.92442946744728,0.0,0.0,99.99999999999143,14.49075918915825,42.250942718606204,Medium,17
16,151,2538.44330388,399338.14625,66.92442946744728,0.0,0.0,47.91346267285179,0.0,29.660021374804543,Medium,39
17,152,2536.9471161,398796.74038,66.92442946744482,0.0,0.0,99.99999999999142,0.0,40.07732884023173,Medium,22
18,153,2536.96622682,398803.081776,66.92442946744728,0.0,0.0,99.99999999999365,10.183927188458949,41.604917918501755,Medium,20
19,161,2539.75765204,399771.807757,66.92442946744728,0.0,0.0,47.18286920650429,14.420521555829696,31.6769809149095,Medium,33
20,162,2536.9277539,398791.036584,66.92442946744728,0.0,19.0109120020982,99.99999999997623,45.7171199490856,50.737079233011904,High,5
21,163,2536.93957239,398795.279848,66.92442946744333,0.0,56.250781312456354,99.99999999999392,62.69880078844196,60.732305220989346,High,1
22,171,2539.75614331,399771.007325,66.92442946744728,0.0,57.11183380357573,41.804583447945134,0.0,39.860612290538356,Medium,23
23,172,2537.72914606,399047.488628,66.92442946744728,0.0,41.33258901934818,89.8124627452326,9.496312600616049,47.73078608324274,Medium,8
24,173,2537.92358593,399052.058511,66.92442898644883,0.0,0.0,89.75112296247138,37.592170131924725,43.66637880821764,Medium,16
25,144,2536.9317772,398793.170175,64.95135629144094,0.0,0.0,99.99999999999143,1.7998247566985779,39.75538060093536,Medium,24
26,145,2536.93630345,398794.472432,32.044762306765065,66.66666666666666,0.0,99.99999999999143,27.33716868363337,43.714003994572806,Medium,15
27,146,2536.92649661,398790.941063,32.629279132506554,33.33333333333333,15.255338642258462,99.99999999997985,47.173437651441965,44.91586711591592,Medium,14
28,147,2536.94082966,398795.878203,33.46221473372364,0.0,31.60415459563792,100.0,61.13366017727612,45.52954436583609,Medium,11
29,148,2536.94082968,398796.040866,33.46221473372364,0.0,0.0,41.630430807139476,52.58380645049655,26.252321549119472,Medium,46
30,149,2536.93756072,398795.055981,33.46221473372364,0.0,0.0,0.0,0.18112023950464168,10.065832456042788,Low,76
31,154,2536.96848994,398803.866009,64.73837042328114,33.33333333333333,0.0,99.99999999998455,27.637264562710783,48.567100811387874,Medium,7
32,155,2536.95943751,398800.995283,33.96989802231265,0.0,0.0,64.42646712666647,1.4454945484582629,23.29308701429583,Low,50
33,156,2536.94963066,398797.730061,33.46221473372364,0.0,0.0,22.71390995761734,21.078090397036874,17.74315997119609,Low,60
